RAJ2000	DEJ2000	HIP	RArad	DErad	Plx	pmRA	pmDE	Hpmag	B-V
335.7565425374	+55.2329369139	110500	335.75655613	+55.23294445	   0.39	   -3.19	   -3.10	 7.9832	 0.367
335.7724375608	+12.7813023152	110501	335.77244633	+12.78132752	   1.36	   -3.52	  -10.37	 8.4476	 0.197
335.7773964129	-43.4057323327	110502	335.77716146	-43.40570377	   3.30	   70.23	  -11.75	 8.3504	 0.969
335.7781928273	-55.8944605552	110503	335.77838850	-55.89409634	   8.70	  -45.14	 -149.85	 9.6967	 0.851
335.7792357196	+55.9632295020	110504	335.77924762	+55.96323597	   0.81	   -2.74	   -2.66	 6.5496	 2.215
335.7805322286	+27.1191622270	110505	335.78059094	+27.11920756	   0.95	  -21.50	  -18.65	 9.0401	 1.175
335.7832797151	-45.9284884966	110506	335.78246321	-45.92834758	  25.00	  233.66	  -57.98	 5.7120	 0.372
335.7846665378	-14.2114684656	110507	335.78460747	-14.21146288	   8.55	   23.56	   -2.30	 8.3772	 0.232
335.7882274814	+09.4610818641	110508	335.78747291	+09.46099609	  30.07	  306.23	   35.29	 8.0464	 0.682
335.8036273941	-22.0566103512	110509	335.80353516	-22.05659674	   2.52	   35.17	   -5.60	 9.8347	 1.500
335.8068886920	+45.2861147370	110510	335.80688572	+45.28611615	   1.44	    0.86	   -0.58	 9.3841	 0.058
335.8068059157	+47.4409686075	110511	335.80681551	+47.44097128	   2.20	   -2.67	   -1.10	10.2427	 0.012
335.8103063857	-25.8422857946	110512	335.80928763	-25.84205660	  18.84	  377.23	  -94.30	 7.9999	 0.610
335.8129544802	+05.6466170624	110513	335.81293057	+05.64673157	   7.09	    9.79	  -47.11	 7.6622	 0.700
335.8163759182	-15.3322802355	110514	335.81641531	-15.33224164	   1.54	  -15.63	  -15.88	10.4572	 0.510
335.8186468060	-73.6670646621	110515	335.81849434	-73.66708420	   4.04	   17.64	    8.04	10.0766	 0.535
335.8309112264	-45.3156475085	110516	335.83098575	-45.31568134	   9.40	  -21.56	   13.92	 8.0786	 0.467
335.8332487860	+31.5010465244	110517	335.83330061	+31.50108891	   8.08	  -18.18	  -17.44	 8.5829	 0.235
335.8351331563	-14.9512969745	110518	335.83524682	-14.95085512	  15.26	  -45.18	 -181.79	 7.1211	 0.462
335.8519545594	-43.4065499265	110519	335.85184416	-43.40647278	   8.47	   33.00	  -31.74	 8.6940	 0.468
335.8526798092	-46.6685886894	110520	335.85272709	-46.66862384	   5.54	  -13.35	   14.46	 6.9491	 0.057
335.8578643699	+42.0589518829	110521	335.85787108	+42.05897949	   4.34	   -2.05	  -11.36	 8.2182	 0.146
335.8650487044	+00.6086155291	110522	335.86508254	+00.60863825	   9.96	  -13.92	   -9.35	 7.0016	 0.184
335.8664684443	+17.6559727611	110523	335.86649650	+17.65602132	   2.63	  -11.00	  -19.98	 7.4888	 1.293
335.8667514491	-04.4845313491	110524	335.86674604	-04.48454063	   0.33	    2.22	    3.82	 9.7375	 1.160
335.8696892011	+55.2517949106	110525	335.86970229	+55.25179960	  -0.05	   -3.07	   -1.93	 9.3422	 0.230
335.8712392795	+32.4594208826	110526	335.87051536	+32.45993684	  64.47	  251.31	 -212.28	10.7666	 1.570
335.8746748793	+03.8548986451	110527	335.87450891	+03.85489364	   7.49	   68.13	    2.06	 9.2378	 0.413
335.8765677623	-20.3138335516	110528	335.87653793	-20.31376732	   2.18	   11.51	  -27.25	 8.2093	 1.695
335.8785362957	-24.7626616480	110529	335.87827422	-24.76265530	  12.45	   97.91	   -2.61	 5.6922	 0.979
335.8785235760	-52.6171367717	110530	335.87845044	-52.61711485	   6.08	   18.27	   -9.02	 9.7326	 0.377
335.8787841219	+06.5421329474	110531	335.87877495	+06.54207469	   7.21	    3.75	   23.97	 7.7238	 1.223
335.8839613763	-07.1944224404	110532	335.88397865	-07.19444295	   6.99	   -7.05	    8.44	 6.0886	 0.998
335.8853838224	+40.5794251811	110533	335.88541371	+40.57944066	   5.42	   -9.34	   -6.37	 8.7710	 1.032
335.8887519370	-57.2206305408	110534	335.88611346	-57.21971486	  52.22	  587.72	 -376.75	10.7854	 1.470
335.8858563369	-29.6942745882	110535	335.88587352	-29.69422384	   4.84	   -6.14	  -20.88	 9.2742	 1.016
335.8873961781	-02.3015848375	110536	335.88743079	-02.30150781	   6.49	  -14.23	  -31.69	 7.4572	 0.460
335.8875775504	-15.9662156131	110537	335.88771900	-15.96617191	   6.96	  -55.95	  -17.98	 9.0225	 0.503
335.8900989442	+52.2290457374	110538	335.89015152	+52.22949969	  19.19	  -13.25	 -186.77	 4.5867	 1.015
335.8918628904	+45.3499979299	110539	335.89173223	+45.34998021	   4.92	   37.78	    7.29	 7.2305	 0.878
335.8928546881	+64.8806339613	110540	335.89286545	+64.88064108	   2.72	   -1.88	   -2.93	 9.9300	 0.317
335.8939624254	+20.8634380230	110541	335.89392128	+20.86346695	   6.38	   15.82	  -11.90	 8.5984	 0.390
335.8949607501	+44.2858705548	110542	335.89495043	+44.28593360	   5.28	    3.04	  -25.94	 9.1218	 0.371
335.9049492584	+51.1956850237	110543	335.90496070	+51.19569358	   0.67	   -2.95	   -3.52	 7.4560	 0.175
335.9110137585	+05.9582013590	110544	335.91108473	+05.95819402	   5.33	  -29.04	    3.02	 8.2684	 0.944
335.9128911144	-73.4416956374	110545	335.91316309	-73.44170947	   6.78	  -31.89	    5.69	 9.3104	 0.635
335.9136174650	+00.9823062294	110546	335.91353620	+00.98228819	   3.49	   33.43	    7.42	 9.4595	 0.391
335.9135124223	-72.8041411283	110547	335.91340522	-72.80406867	   0.31	   13.04	  -29.81	 8.5164	 0.096
335.9148515740	+20.8482288695	110548	335.91398146	+20.84826499	  29.67	  334.55	  -14.86	 6.3175	 0.518
335.9192358830	+19.1880725680	110549	335.91928496	+19.18816350	   1.91	  -19.07	  -37.41	 8.2108	 1.593
335.9237311739	+78.2433168805	110550	335.92367344	+78.24329515	   2.92	    4.84	    8.94	 6.7672	-0.037
335.9313447847	-72.8038254193	110551	335.93118036	-72.80377421	   9.18	   20.00	  -21.07	 8.0424	 0.043
335.9314798545	+00.5574599917	110552	335.93143105	+00.55748860	   5.36	   20.08	  -11.77	 8.4544	 0.292
335.9327809447	-38.7068527594	110553	335.93275883	-38.70681377	   4.01	    7.10	  -16.04	10.2318	 0.496
335.9342969271	+30.0851822468	110554	335.93383078	+30.08513548	   6.93	  165.95	   19.24	10.2920	 0.598
335.9387371572	-34.9036482094	110555	335.93880879	-34.90358536	   5.18	  -24.17	  -25.86	10.3197	 0.452
335.9412945940	+10.5588366912	110556	335.94123751	+10.55887961	   6.65	   23.09	  -17.66	10.5528	 0.578
335.9449232576	+26.0033255875	110557	335.94494084	+26.00336166	   2.89	   -6.50	  -14.84	 9.1987	 1.102
335.9497983673	-50.4429828853	110558	335.94984817	-50.44291043	   3.02	  -13.05	  -29.81	 8.1731	 1.328
335.9506972776	+22.1064840294	110559	335.95068723	+22.10649261	   1.12	    3.83	   -3.53	 8.2491	 1.170
335.9545334911	+24.3925352807	110560	335.95474304	+24.39294038	   5.32	  -78.52	 -166.67	10.7573	 0.573
335.9591776825	+58.5344742519	110561	335.95905420	+58.53452272	   5.31	   26.52	  -19.94	 7.1629	 0.326
335.9638812310	+27.3542665051	110562	335.96391065	+27.35435617	  11.35	  -10.75	  -36.89	 9.0370	 0.576
335.9698819475	-02.7577247859	110563	335.96972748	-02.75770252	   3.37	   63.48	   -9.16	 8.3493	 0.983
335.9735934602	-66.9275857208	110564	335.97392006	-66.92742365	  13.93	  -52.66	  -66.68	 9.1020	 0.763
335.9750125400	+13.7239008065	110565	335.97511735	+13.72392752	   3.35	  -41.89	  -10.99	11.1347	 0.736
335.9760486597	+38.5736127737	110566	335.97525505	+38.57331168	  18.91	  255.27	  123.88	 6.2841	 0.485
335.9815142610	-65.3539165668	110567	335.98165945	-65.35392554	  12.51	  -24.91	    3.69	 7.7697	 0.397
335.9823712070	-76.8531628229	110568	335.98199986	-76.85314080	   4.49	   34.75	   -9.06	 8.4031	 1.082
335.9849643527	+31.2617526462	110569	335.98494874	+31.26175172	   2.54	    5.49	    0.38	 6.8783	 1.523
335.9912188138	+25.0537051198	110570	335.99117162	+25.05370867	   5.52	   17.59	   -1.46	 9.4809	 0.310
335.9920938162	+35.1090763108	110571	335.99204521	+35.10907655	   2.69	   16.36	   -0.10	 8.1415	 0.070
335.9974890082	+43.5496654795	110572	335.99742999	+43.54967736	   3.24	   17.60	   -4.89	 8.3534	 0.026
336.0020533258	+15.2814748902	110573	336.00201296	+15.28150481	   7.04	   16.02	  -12.31	 6.7755	-0.075
336.0054792824	+06.2028247535	110574	336.00538929	+06.20295036	  19.04	   36.81	  -51.68	 8.2449	 0.605
336.0083391931	-31.4784822424	110575	336.00827504	-31.47848489	   3.84	   22.51	    1.09	 8.7061	 1.195
336.0171562593	-26.1970999182	110576	336.01696345	-26.19708140	   7.71	   71.18	   -7.62	 9.9690	 0.642
336.0273662992	-26.3733034017	110577	336.02719612	-26.37325603	  11.27	   62.73	  -19.49	 8.0746	 0.408
336.0286847199	-04.8370192386	110578	336.02861910	-04.83700137	   8.04	   26.90	   -7.35	 5.7843	-0.033
336.0304036115	-33.7232394192	110579	336.03043906	-33.72320097	   6.07	  -12.13	  -15.82	 8.4833	 0.460
336.0314966714	-10.1977291029	110580	336.03163358	-10.19767271	   4.94	  -55.44	  -23.20	 7.2989	 1.379
336.0325136475	+53.3682142801	110581	336.03251699	+53.36822964	   0.17	   -0.82	   -6.32	10.4535	 1.427
336.0434044248	-02.0619343738	110582	336.04338662	-02.06191150	   4.45	    7.32	   -9.41	 7.4148	 0.210
336.0514740271	+38.2463525574	110583	336.05145094	+38.24636661	   9.73	    7.46	   -5.78	 9.2419	 0.212
336.0531828052	+48.8218783788	110584	336.05310085	+48.82188358	   6.66	   22.20	   -2.14	 7.6439	 0.102
336.0528665857	-60.6853077206	110585	336.05271334	-60.68532277	   1.76	   30.87	    6.19	 9.1026	 1.163
336.0542253892	-28.6744356894	110586	336.05411818	-28.67439119	  10.85	   38.70	  -18.31	 8.7119	 0.408
336.0553850021	-49.8795728092	110587	336.05515352	-49.87960482	   8.37	   61.37	   13.17	 9.7435	 0.488
336.0612164073	+71.3009178093	110588	336.06090595	+71.30087678	   6.06	   40.95	   16.88	 7.6458	 0.170
336.0666496734	-35.5469340617	110589	336.06656702	-35.54673021	   6.08	   27.67	  -83.87	10.2626	 0.734
336.0679381668	-21.5971316664	110590	336.06786970	-21.59715680	   2.93	   26.19	   10.34	 7.1122	 1.620
336.0685163536	+44.4522577121	110591	336.06845728	+44.45226070	   2.16	   17.35	   -1.23	 8.9156	 1.144
336.0693645529	-66.2627278383	110592	336.06926468	-66.26270954	   3.44	   16.54	   -7.53	 8.6218	 1.352
336.0732482868	-63.1562762454	110593	336.07316534	-63.15626873	   0.63	   15.41	   -3.09	 8.1157	 0.162
336.0748771757	-01.4467945908	110594	336.07486514	-01.44695681	   5.65	    4.95	   66.74	 8.8151	 0.552
336.0764780978	+48.8372677704	110595	336.07649095	+48.83727844	  -0.98	   -3.48	   -4.39	11.4074	 0.189
336.0874086468	+05.0605164934	110596	336.08738254	+05.06056542	   0.54	   10.70	  -20.13	 8.6841	 1.500
336.0894542327	-06.2107819124	110597	336.08945506	-06.21077710	   9.15	   -0.34	   -1.98	 9.1747	 0.490
336.0905314342	-22.2576219050	110598	336.09050709	-22.25761899	   3.59	    9.27	   -1.20	 8.8095	 0.480
336.0925076299	-48.8598020946	110599	336.09243189	-48.85977738	   4.87	   20.50	  -10.17	 7.5038	 1.065
336.1039146904	+16.2629483687	110600	336.10391403	+16.26300748	   3.98	    0.26	  -24.32	 7.0255	 0.402
336.1100187353	-06.0324847398	110601	336.10999319	-06.03248275	   0.54	   10.45	   -0.82	 8.6426	 1.162
336.1127506866	-13.5293691564	110602	336.11262499	-13.52940379	   7.12	   50.28	   14.25	 5.9276	 0.970
336.1141502358	+35.4331338026	110603	336.11419713	+35.43318484	   2.83	  -15.72	  -21.00	 7.4083	 1.570
